,Unnamed: 0,User,User_statuses_count,user_followers,fav_count,User_location,Tweets,scores,compound,sentiment_type
0,0,Susan APRIL Steinkoenig,18402,672,0,"San Francisco, CA",Parc 55 Hilton Hotel San Francisco 100 block Mason St./Eddy St./Ellis St./Cyril Magnin St. Next to Powell Street tr… https://t.co/msMAJeKF6W,"{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.4404}",-0.4404,NEGATIVE
1,1,Shawnny,2464,116,0,,I fucking hate Bank of America.,"{'neg': 0.5, 'neu': 0.5, 'pos': 0.0, 'compound': -0.6115}",-0.6115,NEGATIVE
2,2,WBZ NewsRadio,177468,45630,0,Boston,One Of America's Most Wanted Bank Robbers Is Identified In Lynnfield https://t.co/xma2A9VTsX,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
3,3,Marie Wilson,7258,117,0,,The right wing in America wastes their lives being useful puppets on behalf of an ever increasingly insidious manip… https://t.co/n6f2knaiSA,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.4404}",0.4404,POSITIVE
4,4,"MIA: Decorative Arts, Textiles and Sculpture (Bot)",8453,3532,0,"Minneapolis, MN","Girard Model Works, Inc., ""Bank of America Cash Drawer (registering)"" still bank, 20th century… https://t.co/OwDg55YVmk","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
5,5,GreenNewDeal,55552,2046,0,,"RT @IndLeftNews: New video by @NaysGarden  @NaysGardenShow: Bank of America goes KOO KOO for CRYPTO! https://t.co/TPkO721zK1
❤️/share/follo…","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
6,6,Kathy Nixon,48,0,0,,Bank of America is a FRAUDULENT Institution if you have an account there and you are a person of color run and get… https://t.co/aZsRMH8tSN,"{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.6037}",-0.6037,NEGATIVE
7,7,Bank of America Help,903234,126936,0,https://bit.ly/2U2HFX9,@aletamosquito Hi. We're very sorry to hear this and would like to see how we can help. If you happen to have any q… https://t.co/zdzjzvSJvX,"{'neg': 0.055, 'neu': 0.764, 'pos': 0.181, 'compound': 0.5584}",0.5584,POSITIVE
8,8,Christopher J. Berry,10675,2717,0,"Brighton, MI","Funding for a carbon-free economy is infinite if there’s a revenue stream, says Bank of America’s Brian Moynihan.… https://t.co/tiAGvZKWye","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
9,9,Kathy Nixon,48,0,0,,Bank of America stole thousands of dollars from me when I took my check into their Institution and opened up an acc… https://t.co/ozEkZ1cM5B,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
10,10,Kathy Nixon,48,0,0,,Bank of America has racially profiled me literally stole thousands of dollars from me now that I'm speaking up they… https://t.co/t8nfoJkdGA,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
11,11,Kathy Nixon,48,0,0,,"Bank of America is a FRAUDULENT, THIEVING Institution that racial profile people of color and then if you have a ch… https://t.co/pV2WTrNFCT","{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.6037}",-0.6037,NEGATIVE
12,12,Kathy Nixon,48,0,0,,Bank of America stole thousands of dollars from me literally now they want to put me in a banking system as a fraud… https://t.co/0tyfz4q3ff,"{'neg': 0.0, 'neu': 0.942, 'pos': 0.058, 'compound': 0.0772}",0.0772,POSITIVE
13,13,Kathy Nixon,48,0,0,,Bank of America think that they can get away with putting you into banking system as a fraudulent check carrier whe… https://t.co/jgvWkrhaiV,"{'neg': 0.138, 'neu': 0.862, 'pos': 0.0, 'compound': -0.4939}",-0.4939,NEGATIVE
14,14,Kathy Nixon,48,0,0,,People Bank of America is nothing other than a Prejudice Institution and an organized crime banking Institution run… https://t.co/H2MKWbVmwh,"{'neg': 0.158, 'neu': 0.721, 'pos': 0.122, 'compound': -0.2018}",-0.2018,NEGATIVE
15,15,RickWu,38855,10177,0,The Corn Hole,RT @jay_jdavis: I’ll bet only poor people get charged the Bank of America $12.00 balance inquiry fee.,"{'neg': 0.246, 'neu': 0.754, 'pos': 0.0, 'compound': -0.5994}",-0.5994,NEGATIVE
16,16,Really? I'm gobsmacked,42443,2033,0,Pacific NW,"RT @USMarshalsHQ: One of America’s Most Wanted Fugitives Identified After 52 Years. Mystery solved of Ted Conrad, who pulled off one of the…","{'neg': 0.0, 'neu': 0.913, 'pos': 0.087, 'compound': 0.2732}",0.2732,POSITIVE
17,17,IndependentLeft.news & Leftists.today,28876,2775,1,,"New video by @NaysGarden  @NaysGardenShow: Bank of America goes KOO KOO for CRYPTO! https://t.co/TPkO721zK1
❤️/shar… https://t.co/EtOvHiNz8G","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
18,18,.,43010,780,0,"Atlanta, GA",Bank of America got me fucked up,"{'neg': 0.423, 'neu': 0.577, 'pos': 0.0, 'compound': -0.6597}",-0.6597,NEGATIVE
19,19,Tom B. Taker 🧊,152025,3424,0,"Shouts from the Abyss, #PDX OR","Just saw two female popo rousting riff raff from the Bank of America ATM antechamber. Too bad, because I was gonna… https://t.co/rI7MYtCKrL","{'neg': 0.149, 'neu': 0.851, 'pos': 0.0, 'compound': -0.5423}",-0.5423,NEGATIVE
20,20,TexasTruther33,155,22,0,,"@hrkbenowen If a burglar is in my house,  im calling the police not BLM ... 
Bc they would join the burglar and ste… https://t.co/dhqwbYWyd5","{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.296}",0.296,POSITIVE
21,21,Nathan Dill,34,2,0,,@EriMRdgz Like I said before the Bank of America stadium is in Charlotte North Carolina,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}",0.3612,POSITIVE
22,22,TeslaJoe,19013,564,0,"ÜT: 40.522688,-74.661111",@teslafsdbeta Bank of America does - would bug me if I could not just copy it for transfers.  Guess you could alway… https://t.co/YBvQot07To,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
23,23,Nathan Dill,34,2,0,,@EriMRdgz Because the Bank of America stadium is in charlotte NC! ( NORTH Carolina),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
24,24,Regional Outreach Bureau TN&Puducherry,42063,1508,0,Chennai,RT @pibchennai: Global Supply chains should not only be based only on cost but also on trust. Trade must grow in a mutually beneficial and…,"{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.8519}",0.8519,POSITIVE
25,25,Shawn Farner,385,28,0,"Houston, TX",Whoever designed the new Twitter sign-up experience should go work for Bank of America instead.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
26,26,biology stan acc,193869,1162,0,,RT @prettyboiitom: @BankofAmerica yo why my man ain’t tell me he did an ad for bank of america…he look realll good tho https://t.co/FZAUEmr…,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.4404}",0.4404,POSITIVE
27,27,Bharat Adarkar,868,46,0,"Pune, India","Chase, Wells Fargo, Bank of America, and Citibank customers! Are you tired of your money being used to invest in th… https://t.co/mnDC2qPBLw","{'neg': 0.127, 'neu': 0.794, 'pos': 0.079, 'compound': -0.2942}",-0.2942,NEGATIVE
28,28,19keys,152,0,0,"California, USA",RT @Blockworks_: JUST IN: Bank of America COO says that offering loans against crypto assets could be a possibility in the future https://t…,"{'neg': 0.0, 'neu': 0.925, 'pos': 0.075, 'compound': 0.1779}",0.1779,POSITIVE
29,29,Isaac Cook,5955,376,0,,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
30,30,Johnny42 ☘☘☘,3069,38,0,"Phoenix, AZ🇺🇲🇺🇸🇺🇲",@BankofAmerica @Jenisplendid @jenisicecreams Bank of America will turn you in for a pat on the head.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
31,31,Bet In Crypto,9343,257,0,,"Bank of America Survey: ‘Long Bitcoin’ Is Most Crowded Trade, 75% of Fund Managers See BTC as Bubble

Toplist Crypt… https://t.co/XPffDaALHy","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
32,32,b. maat,109198,841,2,,@patriciamdavis @joebev49 corporate america and american govt are now wedded at the hip in their own version of the… https://t.co/i9bH2wK6Ug,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
33,33,StixO,64766,471,0,I.E. Cali ,RT @El_Liaison: Wonder how electric Bank Of America Stadium will be next sunday when this moment happens.... https://t.co/aZax9X6rSX,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
34,34,Nkembe Etoupe Jean Albert,15993,330,0,"Littoral, Cameroon",RT @Forbes: Bank of America analyst Robert Ohmes reported that birth rates are rising and 13% more pregnancy tests are being sold compared…,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,NEUTRAL
35,35,Glizzy Goddess Gang.,285960,1417,0,"West Oak Lane, Philadelphia",On my momma Bank of America got me fucked up yo,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.6597}",-0.6597,NEGATIVE
36,36,Talisker J. Fernly,141285,266,0,Essos,"@phfameeee If it's Wells Fargo or Bank of America, you better hurry 😂😂","{'neg': 0.0, 'neu': 0.692, 'pos': 0.308, 'compound': 0.5994}",0.5994,POSITIVE
